paxCode,label,steamId
PAX0011353722,Tekken 7 Season Pass 2 (DLC),
PAX0011354674,Get Even,
PAX0011354742,Get Even,
PAX0011356272,My Hero One's Justice 2 (Deluxe Edition),1058450
PAX0011357190,One Piece: Pirate Warriors 4,1089090
PAX0011357292,Ridge Racer Unbounded Bundle,202310
PAX0011359672,Dragon Ball FighterZ,678950
PAX0011363990,Dark Souls III: Season Pass (DLC),442010
PAX0011365316,Dragon Ball Xenoverse 2: Super Pass (DLC),507510
PAX0011368172,Naruto Shippuden: Ultimate Ninja Storm 4,349040
PAX0011370926,Little Witch Academia: Chamber of Time,710470
PAX0011373680,Dark Souls III,374320
PAX0011374224,Namco Museum Archives Volume 1,1250250
PAX0011389626,God Eater 2: Rage Burst,438490
PAX0011393332,Project Cars 2,378860
PAX0011405844,Naruto Shippuden: Ultimate Ninja Storm Trilogy,
PAX0011414276,God Eater 3,899440
PAX0011416112,Dragon Ball: Xenoverse 2 - Ultra Pack Set (DLC),1108460
PAX0011417506,Dragon Ball Z: Kakarot - A New Power Awakens Set steam (DLC),1292130
PAX0011418968,Soulcalibur VI,544750
PAX0011435764,.Hack//G.U. Last Recode,525480
PAX0011441850,One Punch Man: A Hero Nobody Knows - Character Pass (DLC),1176379
PAX0011443788,Tekken 7 (Ultimate Edition),
PAX0011446984,Naruto Shippuden: Ultimate Ninja Storm Revolution,272510
PAX0011453036,One Piece Pirate Warriors 3 Story Pack (DLC),378501
PAX0011453308,Sword Art Online: Fatal Bullet,626690
PAX0011460958,Naruto Shippuden: Ultimate Ninja Storm 2,543870
PAX0011461978,Dragon Ball FighterZ (Ultimate Edition),
PAX0011474422,Jump Force (Deluxe Edition),
PAX0011475170,Tekken 7,389730
PAX0011476224,One Piece: World Seeker,755500
PAX0011476768,Tekken 7,389730
PAX0011476836,Dragon Ball FighterZ: FighterZ Pass 2 (DLC),992176
PAX0011480236,Tekken 7,389730
PAX0011480372,Jump Force,816020
PAX0011482038,Mud: FIM Motocross World Championship,226780
PAX0011482854,Soulcalibur VI,544750
PAX0011484112,Dragon Ball FighterZ,678950
PAX0011485302,My Hero One's Justice,748360
PAX0011489042,Jump Force: Characters Pass (DLC),974726
PAX0011489654,Dragon Ball: Xenoverse 2 - Extra Pass (DLC),740141
PAX0011492170,Naruto Shippuden: Ultimate Ninja Storm 4 - Road to Boruto,495160
PAX0011492340,Beware Planet Earth!,267340
PAX0011493326,Tekken 7 Season Pass 2 (DLC),878467
PAX0011493428,One Piece: World Seeker (Deluxe Edition),
PAX0011494516,The Dark Pictures Anthology: Man of Medan,939850
PAX0011496930,Code Vein (Deluxe Edition),678960
PAX0011497746,RAD,722560
PAX0011498188,RAD,722560
PAX0011514134,Dragon Ball Z: Kakarot,
PAX0011515188,Project Cars 2,
PAX0011521682,Jump Force,
PAX0011522022,Project Cars 2 Season Pass (DLC),
PAX0011523620,Sword Art Online: Fatal Bullet,
PAX0011525218,Tekken 7: Eliza (DLC),
PAX0011526510,Rad,
PAX0011527632,Dragon Ball: Xenoverse Super Bundle,
PAX0011528312,Ace Combat 7: Skies Unknown,
PAX0011528482,The Dark Pictures Anthology: Man of Medan,
PAX0011528686,Code Vein: Season Pass (DLC),
PAX0011530148,Dragon Ball Z: Kakarot (Ultimate Edition),
PAX0011531066,Project Cars 2 Season Pass (DLC),
PAX0011531134,Naruto Shippuden: Ultimate Ninja Storm Trilogy,
PAX0011537730,Arcade Game Series: 3 in 1 Pack,
PAX0011539804,SD Gundam G Generation Cross Rays,728530
PAX0011545074,Naruto Shippuden: Ultimate Ninja Storm 4 Season Pass (DLC),
PAX0011545550,Naruto Shippuden: Ultimate Ninja Storm 4,
PAX0011547998,Soulcalibur VI,
PAX0011548576,Naruto Shippuden: Ultimate Ninja Storm Legacy,
PAX0011550038,Naruto Shippuden: Ultimate Ninja Storm 4 - Road to Boruto,
PAX0011550616,Soulcalibur VI,
