Product Name,Item Number ,Sales Units,SRP (CNY),"Promo Discount
(OFF)",Selling Price (CNY),Selling Price (USD),Gross Sales Revenue (USD),USD VAT (13%),Net Sales Revenue (USD),Channel Gross Margin %,Channel Profits (USD),Disti Gross Margin %,Disti Profits (USD),Marketing Support %,Marketing Fee (5%),Unit Price,"Payment Amount
(USD)",Disti Cost % from SRP
GUNDAM BREAKER 4 Deluxe Edition,E06529,2,448.0,0.0,448.0,61.093759999999996,122.18751999999999,7.942188799999999,106.3031424,0.2,21.26062848,0.05,5.31515712,0.05,5.31515712,37.21,74.41219968000001,0.6090000000000002
GUNDAM BREAKER 4 Ultimate Edition,E06530,2,498.0,0.0,498.0,67.91225999999999,135.82451999999998,8.828593799999998,118.16733239999998,0.2,23.633466479999996,0.05,5.908366619999999,0.05,5.908366619999999,41.36,82.71713267999999,0.609
JoJo's Bizarre Adventure: All-Star Battle R Deluxe Edition,E05524,1,348.0,0.0,348.0,47.456759999999996,47.456759999999996,6.1693788,41.2873812,0.2,8.25747624,0.05,2.06436906,0.05,2.06436906,28.9,28.901166839999995,0.609
JoJo's Bizarre Adventure: All-Star Battle R Deluxe Edition,E05524,36,348.0,0.72,97.0,13.227889999999999,476.20403999999996,1.7196257,414.29751479999993,0.2,82.85950295999999,0.05,20.714875739999997,0.05,20.714875739999997,8.06,290.0082603599999,0.6089999999999999
JoJo's Bizarre Adventure: All-Star Battle R Ultimate Edition,E06307,3,428.0,0.0,428.0,58.36635999999999,175.09908,7.5876268,152.3361996,0.2,30.467239919999997,0.07,10.663533972,0.05,7.616809979999999,34.53,103.588615728,0.5916
JoJo's Bizarre Adventure: All-Star Battle R Ultimate Edition,E06307,156,428.0,0.7,128.0,17.45536,2723.0361599999997,2.2691968,2369.0414591999997,0.2,473.80829184,0.05,118.45207296,0.05,118.45207296,10.63,1658.32902144,0.6090000000000001
Jujutsu Kaisen Cursed Clash,E05703,1,298.0,0.35,193.0,26.319409999999998,26.319409999999998,3.4215233,22.897886699999997,0.2,4.579577339999999,0.05,1.1448943349999998,0.05,1.1448943349999998,16.03,16.028520689999997,0.609
Klonoa Phantasy Reverie Series,E04522,2,198.0,0.75,49.0,6.68213,13.36426,0.8686769,11.6269062,0.2,2.32538124,0.05,0.58134531,0.05,0.58134531,4.07,8.13883434,0.6090000000000001
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,E01592,92,98.0,0.0,98.0,13.36426,1229.51192,1.7373538,1069.6753704,0.2,213.93507408000002,0.05,53.483768520000005,0.05,53.483768520000005,8.14,748.77275928,0.609
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,E01592,44,98.0,0.0999999999999999,88.0,12.00056,528.02464,1.5600728000000001,459.38143679999996,0.2,91.87628735999999,0.05,22.969071839999998,0.05,22.969071839999998,7.31,321.56700576000003,0.6090000000000001
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 Road to Boruto,E04555,4,360.0,0.5,180.0,24.546599999999998,98.18639999999999,3.191058,85.422168,0.2,17.0844336,0.05,4.2711084,0.05,4.2711084,14.95,59.7955176,0.609
