Product Name,Unnamed: 1,Unnamed: 2,Item Number ,Sales Units,SRP (CNY),"Promo Discount
(OFF)",Selling Price (CNY),Selling Price (USD),Gross Sales Revenue (USD),USD VAT (13%),Net Sales Revenue (USD),Channel Gross Margin %,Channel Profits (USD),Disti Gross Margin %,Disti Profits (USD),Marketing Support %,Marketing Fee (5%),"Payment Amount
(USD)",Disti Cost % from SRP
SWORD ART ONLINE Fractured Daydream Premium Edition,,,E06532,,498.0,0.0,498.0,65.736,,8.54568,,0.2,,0.05,,0.05,,,
SWORD ART ONLINE Last Recollection,,,E05687,,298.0,0.0,298.0,39.336,,5.11368,,0.2,,0.07,,0.05,,,
SWORD ART ONLINE Last Recollection Deluxe Edition,,,E06096,,428.0,0.0,428.0,56.496,,7.344480000000001,,0.2,,0.07,,0.05,,,
Sword Art Online: Fatal Bullet,,,E02540,,158.0,0.0,158.0,20.856,,2.7112800000000004,,0.2,,0.05,,0.05,,,
Sword Art Online: Fatal Bullet Complete Edition,,,E03322,,301.5,0.0,301.5,39.798,,5.1737400000000004,,0.2,,0.07,,0.05,,,
Sword Art Online: Hollow Realization Deluxe Edition,,,E02310,,278.0,0.0,278.0,36.696000000000005,,4.770480000000001,,0.2,,0.05,,0.05,,,
Sword Art Online: Lost Song,,,E05372,,88.0,0.0,88.0,11.616,,1.51008,,0.2,,0.07,,0.05,,,
Tales of Arise,,,E03024,,198.0,0.0,198.0,26.136000000000003,,3.3976800000000007,,0.2,,0.07,,0.05,,,
Tales of Arise - Beyond the Dawn Deluxe Edition,,,E06161,,398.0,0.0,398.0,52.536,,6.829680000000001,,0.2,,0.07,,0.05,,,
Tales of Arise - Beyond the Dawn Edition,,,E06160,,298.0,0.0,298.0,39.336,,5.11368,,0.2,,0.07,,0.05,,,
Tales of Arise - Beyond the Dawn Expansion,,,E06168,,178.0,0.0,178.0,23.496000000000002,,3.0544800000000003,,0.2,,0.05,,0.05,,,
Tales of Arise - Beyond the Dawn Ultimate Edition,,,E06168,,498.0,0.0,498.0,65.736,,8.54568,,0.2,,0.05,,0.05,,,
Tales of Berseria,,,E02174,,268.0,0.0,268.0,35.376000000000005,,4.598880000000001,,0.2,,0.07,,0.05,,,
Tales of Vesperia™: Definitive Edition,,,E03191,,258.0,0.0,258.0,34.056000000000004,,4.4272800000000005,,0.2,,0.07,,0.05,,,
Tales of Zestiria,,,E01607,,314.0,0.0,314.0,41.448,,5.388240000000001,,0.2,,0.07,,0.05,,,
TEKKEN 7,,,E02278,,198.0,0.0,198.0,26.136000000000003,,3.3976800000000007,,0.2,,0.07,,0.05,,,
TEKKEN 7 - Originals Edition,,,E05647,,398.0,0.0,398.0,52.536,,6.829680000000001,,0.2,,0.07,,0.05,,,
TEKKEN 8,,,E05700,,348.0,0.0,348.0,45.936,,5.97168,,0.2,,0.07,,0.05,,,
TEKKEN 8 Deluxe Edition,,,E06226,,498.0,0.0,498.0,65.736,,8.54568,,0.2,,0.07,,0.05,,,
TEKKEN 8 Ultimate Edition,,,E06227,,548.0,0.0,548.0,72.336,,9.40368,,0.2,,0.07,,0.05,,,
That Time I Got Reincarnated as a Slime ISEKAI Chronicles,,,E03566,,248.0,0.0,248.0,32.736000000000004,,4.255680000000001,,0.2,,0.07,,0.05,,,
That Time I Got Reincarnated as a Slime ISEKAI Chronicles Digital Deluxe Edition,,,E06534,,348.0,0.0,348.0,45.936,,5.97168,,0.2,,0.07,,0.05,,,
THE IDOLM@STER STARLIT SEASON,,,E03045,,348.0,0.0,348.0,45.936,,5.97168,,0.2,,0.07,,0.05,,,
THE IDOLM@STER STARLIT SEASON Digital Deluxe Edition,,,E05096,,498.0,0.0,498.0,65.736,,8.54568,,0.2,,0.07,,0.05,,,
We Love Katamari REROLL+ Royal Reverie,,,E05071,,148.0,0.0,148.0,19.536,,2.53968,,0.2,,0.07,,0.05,,,
We Love Katamari REROLL+ Royal Reverie Special Edition,,,E06305,,198.0,0.0,198.0,26.136000000000003,,3.3976800000000007,,0.2,,0.07,,0.05,,,
,,,,,,,,,,0.13,,0.2,,,,,,,0.61
