Product Name,Item Number ,Sales Units,SRP (CNY),"Promo Discount
(OFF)",Selling Price (CNY),Selling Price (USD),Gross Sales Revenue (USD),USD VAT (13%),Net Sales Revenue (USD),Channel Gross Margin %,Channel Profits (USD),Disti Gross Margin %,Disti Profits (USD),Marketing Support %,Marketing Fee (5%),Unit Price,"Payment Amount
(USD)",Disti Cost % from SRP,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
Digimon Story Cyber Sleuth: Complete Edition,E05368,6,228.0,0.0,228.0,31.30212,187.81271999999998,4.0692756,163.39706639999997,0.2,32.67941328,0.05,8.16985332,0.05,8.16985332,19.06,114.35999999999999,0.6089044448107668,,,,
Digimon Story Cyber Sleuth: Complete Edition,E05368,38,228.0,0.61,88.0,12.08152,459.09776,1.5705976,399.4150512,0.2,79.88301024,0.05,19.97075256,0.05,19.97075256,7.36,279.68,0.6091948695197293,,,,
Digimon Survive,E05471,6,298.0,0.7,89.0,12.21881,73.31286,1.5884453,63.78218819999999,0.2,12.75643764,0.05,3.18910941,0.05,3.18910941,7.44,44.64,0.6088972657730172,,,,
Digimon World: Next Order,E04521,6,248.0,0.64,89.0,12.21881,73.31286,1.5884453,63.78218819999999,0.2,12.75643764,0.05,3.18910941,0.05,3.18910941,7.44,44.64,0.6088972657730172,,,,
Digimon World: Next Order,E04521,1,248.0,0.0,248.0,34.04792,34.04792,4.4262296,29.6216904,0.2,5.92433808,0.05,1.48108452,0.05,1.48108452,20.74,20.74,0.6091414688474363,,,,
DORAEMON STORY OF SEASONS,E03496,1,228.0,0.5,114.0,15.65106,15.65106,2.0346378,13.616422199999999,0.2,2.72328444,0.05,0.68082111,0.05,0.68082111,9.53,9.53,0.6089044448107668,,,,
DORAEMON STORY OF SEASONS: Friends of the Great Kingdom,E05019,1,248.0,0.0,248.0,34.04792,34.04792,4.4262296,29.6216904,0.2,5.92433808,0.05,1.48108452,0.05,1.48108452,20.74,20.74,0.6091414688474363,,,,
DORAEMON STORY OF SEASONS: Friends of the Great Kingdom,E05019,19,248.0,0.3,173.0,23.75117,451.27223,3.0876520999999997,392.6068401,0.2,78.52136802000001,0.05,19.630342005000003,0.05,19.630342005000003,14.46,274.74,0.6088121132558943,,,,
DORAEMON STORY OF SEASONS: Friends of the Great Kingdom Deluxe Edition,E05733,5,348.0,0.3,243.0,33.36147,166.80734999999999,4.3369911,145.12239449999998,0.2,29.0244789,0.05,7.256119725,0.05,7.256119725,20.32,101.6,0.6090858706166126,,,,
DORAEMON STORY OF SEASONS: Friends of the Great Kingdom Deluxe Edition,E05733,0,348.0,0.0,348.0,47.77692,0.0,6.2109996,0.0,0.2,0.0,0.05,0.0,0.05,0.0,0.0,0.0,,,,,41.64
DRAGON BALL FighterZ,E02533,3,198.0,0.0,198.0,27.183419999999998,81.55026,3.5338445999999997,70.9487262,0.2,14.18974524,0.05,3.54743631,0.05,3.54743631,16.55,49.650000000000006,0.6088269982217103,,,,
