Product Name,Item Number ,Sales Units,SK QTY,Heybox Qty,SRP (CNY),"Promo Discount
(OFF)",Selling Price (CNY),Selling Price (USD),Gross Sales Revenue (USD),USD VAT (13%),Net Sales Revenue (USD),Channel Gross Margin %,Channel Profits (USD),Disti Gross Margin %,Disti Profits (USD),Marketing Support %,Marketing Fee (5%),Unit Price,"Payment Amount
(USD)",Disti Cost % from SRP
NARUTO SHIPPUDEN: Ultimate Ninja STORM Legacy,E05371,48,,48.0,684,0.79651,139.0,19.37799,930.1435200000001,2.5191387,809.2248624000001,0.2,161.84497248000002,0.05,40.461243120000006,0.05,40.461243120000006,11.8,566.4000000000001,0.6089382851369002
NARUTO SHIPPUDEN: Ultimate Ninja STORM Trilogy,E05387,218,6.0,212.0,324,0.75,81.0,11.29221,2461.7017800000003,1.4679873,2141.6805486,0.2,428.33610971999997,0.05,107.08402742999999,0.05,107.08402742999999,6.88,1499.84,0.6092695761060057
NARUTO SHIPPUDEN: Ultimate Ninja STORM Trilogy,E05387,12,,12.0,324,0.8325,54.0,7.5281400000000005,90.33768,0.9786582000000001,78.5937816,0.2,15.71875632,0.05,3.92968908,0.05,3.92968908,4.58,54.96,0.6083840098616656
NARUTO TO BORUTO: SHINOBI STRIKER,E02855,227,2.0,225.0,98,0.75,24.0,3.34584,759.50568,0.4349592,660.7699416,0.2,132.15398832000002,0.05,33.038497080000006,0.05,33.038497080000006,2.04,463.08,0.6097123592281759
NARUTO TO BORUTO: SHINOBI STRIKER,E02855,1,,1.0,98,0.0,98.0,13.662180000000001,13.662180000000001,1.7760834000000003,11.8860966,0.2,2.37721932,0.05,0.59430483,0.05,0.59430483,8.32,8.32,0.608980411618058
NARUTO TO BORUTO: SHINOBI STRIKER Deluxe Edition,E02942,58,1.0,57.0,198,0.75,49.0,6.8310900000000006,396.20322000000004,0.8880417000000002,344.6968014,0.2,68.93936028,0.05,17.23484007,0.05,17.23484007,4.16,241.28,0.6089804116180579
NARUTO TO BORUTO: SHINOBI STRIKER Ultimate Edition,E06292,12,,12.0,398,0.75,99.0,13.801590000000001,165.61908,1.7942067000000002,144.0885996,0.2,28.817719920000002,0.05,7.2044299800000005,0.05,7.2044299800000005,8.41,100.92,0.6093500821282186
NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS,E03049,48,,48.0,298,0.5,149.0,20.772090000000002,997.06032,2.7003717000000003,867.4424784,0.2,173.48849568000003,0.05,43.37212392000001,0.05,43.37212392000001,12.65,607.2,0.6089902364181938
NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS,E03049,4,,4.0,298,0.0,298.0,41.544180000000004,166.17672000000002,5.4007434000000005,144.5737464,0.2,28.914749280000002,0.05,7.228687320000001,0.05,7.228687320000001,25.3,101.2,0.6089902364181938
NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS Deluxe Edition,E06164,16,1.0,15.0,428,0.5,214.0,29.833740000000002,477.33984000000004,3.8783862000000004,415.2856608,0.2,83.05713216000001,0.05,20.764283040000002,0.05,20.764283040000002,18.17,290.72,0.6090419773048904
NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS Deluxe Edition,E06164,1,,1.0,428,0.0,428.0,59.667480000000005,59.667480000000005,7.756772400000001,51.9107076,0.2,10.382141520000001,0.05,2.5955353800000003,0.05,2.5955353800000003,36.34,36.34,0.6090419773048904
NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS Ultimate Edition,E06165,62,1.0,61.0,468,0.5,234.0,32.62194,2022.5602800000001,4.240852200000001,1759.6274436,0.2,351.92548872000003,0.05,87.98137218000001,0.05,87.98137218000001,19.87,1231.94,0.6090992749051711
