Product Name,Unnamed: 1,Unnamed: 2,Item Number ,Sales Units,SRP (CNY),"Promo Discount
(OFF)",Selling Price (CNY),Selling Price (USD),Gross Sales Revenue (USD),USD VAT (13%),Net Sales Revenue (USD),Channel Gross Margin %,Channel Profits (USD),Disti Gross Margin %,Disti Profits (USD),Marketing Support %,Marketing Fee (5%),"Payment Amount
(USD)",Disti Cost % from SRP
SAND LAND Deluxe Edition,,,E06272,,348.0,0.0,348.0,45.936,0.0,5.97168,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
SCARLET NEXUS,,,E03557,,328.0,0.0,328.0,43.296,0.0,5.62848,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
SCARLET NEXUS Deluxe,,,E04727,,398.0,0.0,398.0,52.536,0.0,6.829680000000001,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
SCARLET NEXUS Ultimate Edition,,,E05643,,518.0,0.0,518.0,68.376,0.0,8.88888,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
SD GUNDAM BATTLE ALLIANCE,,,E03559,,348.0,0.0,348.0,45.936,0.0,5.97168,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
SD GUNDAM BATTLE ALLIANCE - Deluxe Edition,,,E05472,,498.0,0.0,498.0,65.736,0.0,8.54568,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
SD GUNDAM G GENERATION CROSS RAY,,,E02985,,198.0,0.0,198.0,26.136000000000003,0.0,3.3976800000000007,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
SD GUNDAM G GENERATION CROSS RAY Platinum Edition,,,E06306,,298.0,0.0,298.0,39.336,0.0,5.11368,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
SOULCALIBUR VI,,,E02875,,298.0,0.0,298.0,39.336,0.0,5.11368,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
SOULCALIBUR VI Deluxe Edition,,,E03123,,448.0,0.0,448.0,59.136,0.0,7.68768,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
SPY×ANYA: Operation Memories,,,E05697,,248.0,0.0,248.0,32.736000000000004,0.0,4.255680000000001,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
SPY×ANYA: Operation Memories Deluxe Edition,,,E06533,,348.0,0.0,348.0,45.936,0.0,5.97168,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
Super Robot Wars 30,,,E04508,,368.0,0.0,368.0,48.576,0.0,6.3148800000000005,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
Super Robot Wars 30 Digital Deluxe Edition,,,E05097,,528.0,0.0,528.0,69.696,0.0,9.06048,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
Super Robot Wars 30 Ultimate Edition,,,E05098,,678.0,0.0,678.0,89.49600000000001,0.0,11.634480000000002,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
SUPER ROBOT WARS X,,,E03632,,248.0,0.0,248.0,32.736000000000004,0.0,4.255680000000001,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
SWORD ART ONLINE Alicization Lycoris ,,,E03060,,298.0,0.0,298.0,39.336,0.0,5.11368,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
SWORD ART ONLINE Alicization Lycoris Deluxe Edition,,,E03954,,498.0,0.0,498.0,65.736,0.0,8.54568,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
SWORD ART ONLINE Fractured Daydream,,,E06120,,298.0,0.0,298.0,39.336,0.0,5.11368,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
SWORD ART ONLINE Fractured Daydream Deluxe Edition,,,E06531,,428.0,0.0,428.0,56.496,0.0,7.344480000000001,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
SWORD ART ONLINE Fractured Daydream Premium Edition,,,E06532,,498.0,0.0,498.0,65.736,0.0,8.54568,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
SWORD ART ONLINE Last Recollection,,,E05687,,298.0,0.0,298.0,39.336,0.0,5.11368,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
SWORD ART ONLINE Last Recollection Deluxe Edition,,,E06096,,428.0,0.0,428.0,56.496,0.0,7.344480000000001,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
Sword Art Online: Fatal Bullet,,,E02540,,158.0,0.0,158.0,20.856,0.0,2.7112800000000004,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
Sword Art Online: Fatal Bullet Complete Edition,,,E03322,,301.5,0.0,301.5,39.798,0.0,5.1737400000000004,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
Sword Art Online: Hollow Realization Deluxe Edition,,,E02310,,278.0,0.0,278.0,36.696000000000005,0.0,4.770480000000001,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
Sword Art Online: Lost Song,,,E05372,,88.0,0.0,88.0,11.616,0.0,1.51008,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
Tales of Arise,,,E03024,,198.0,0.0,198.0,26.136000000000003,0.0,3.3976800000000007,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
Tales of Arise - Beyond the Dawn Deluxe Edition,,,E06161,,398.0,0.0,398.0,52.536,0.0,6.829680000000001,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
Tales of Arise - Beyond the Dawn Edition,,,E06160,,298.0,0.0,298.0,39.336,0.0,5.11368,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
Tales of Arise - Beyond the Dawn Expansion,,,E06168,,178.0,0.0,178.0,23.496000000000002,0.0,3.0544800000000003,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
Tales of Arise - Beyond the Dawn Ultimate Edition,,,E06168,,498.0,0.0,498.0,65.736,0.0,8.54568,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
Tales of Berseria,,,E02174,,268.0,0.0,268.0,35.376000000000005,0.0,4.598880000000001,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
Tales of Vesperia™: Definitive Edition,,,E03191,,258.0,0.0,258.0,34.056000000000004,0.0,4.4272800000000005,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
Tales of Zestiria,,,E01607,,314.0,0.0,314.0,41.448,0.0,5.388240000000001,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
TEKKEN 7,,,E02278,,198.0,0.0,198.0,26.136000000000003,0.0,3.3976800000000007,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
TEKKEN 7 - Originals Edition,,,E05647,,398.0,0.0,398.0,52.536,0.0,6.829680000000001,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
TEKKEN 8,,,E05700,,348.0,0.0,348.0,45.936,0.0,5.97168,0.0,0.2,0.0,0.05,0.0,0.05,0.0,0.0,
TEKKEN 8 Deluxe Edition,,,E06226,,498.0,0.0,498.0,65.736,0.0,8.54568,0.0,0.2,0.0,0.05,0.0,0.05,0.0,0.0,
TEKKEN 8 Ultimate Edition,,,E06227,,548.0,0.0,548.0,72.336,0.0,9.40368,0.0,0.2,0.0,0.05,0.0,0.05,0.0,0.0,
That Time I Got Reincarnated as a Slime ISEKAI Chronicles,,,E03566,,248.0,0.0,248.0,32.736000000000004,0.0,4.255680000000001,0.0,0.2,0.0,0.05,0.0,0.05,0.0,0.0,
That Time I Got Reincarnated as a Slime ISEKAI Chronicles Digital Deluxe Edition,,,E06534,,348.0,0.0,348.0,45.936,0.0,5.97168,0.0,0.2,0.0,0.05,0.0,0.05,0.0,0.0,
THE IDOLMASTER STARLIT SEASON,,,E03045,,348.0,0.0,348.0,45.936,0.0,5.97168,0.0,0.2,0.0,0.05,0.0,0.05,0.0,0.0,
THE IDOLMASTER STARLIT SEASON Deluxe Edition,,,E05096,,498.0,0.0,498.0,65.736,0.0,8.54568,0.0,0.2,0.0,0.05,0.0,0.05,0.0,0.0,
We Love Katamari REROLL+ Royal Reverie,,,E05071,,148.0,0.0,148.0,19.536,0.0,2.53968,0.0,0.2,0.0,0.05,0.0,0.05,0.0,0.0,
We Love Katamari REROLL+ Royal Reverie Special Edition,,,E06305,,198.0,0.0,198.0,26.136000000000003,0.0,3.3976800000000007,0.0,0.2,0.0,0.05,0.0,0.05,0.0,0.0,
,,,,992.0,,,,,48069.912000000004,0.13000000000000006,41820.82344,0.19999999999999998,8364.164687999999,0.049999999999999996,2091.0411719999997,0.049999999999999996,2091.0411719999997,29274.576408,0.609
