paxCode,label,Normalized Name
PAX0011446984,Naruto Shippuden: Ultimate Ninja Storm Revolution,naruto_shippuden_ultimate_ninja_storm_revolution
PAX0011453036,One Piece Pirate Warriors 3 Story Pack (DLC),one_piece_pirate_warriors_3_story_pack
PAX0011453308,Sword Art Online: Fatal Bullet,sword_art_online_fatal_bullet
PAX0011460958,Naruto Shippuden: Ultimate Ninja Storm 2,naruto_shippuden_ultimate_ninja_storm_2
PAX0011461978,Dragon Ball FighterZ (Ultimate Edition),dragon_ball_fighterz_ultimate
PAX0011474422,Jump Force (Deluxe Edition),jump_force_deluxe
PAX0011475170,Tekken 7,tekken_7
PAX0011476224,One Piece: World Seeker,one_piece_world_seeker
PAX0011476768,Tekken 7,tekken_7
PAX0011476836,Dragon Ball FighterZ: FighterZ Pass 2 (DLC),dragon_ball_fighterz_fighterz_pass_2
PAX0011480236,Tekken 7,tekken_7
PAX0011480372,Jump Force,jump_force
PAX0011482038,Mud: FIM Motocross World Championship,mud_fim_motocross_world_championship
PAX0011482854,Soulcalibur VI,soulcalibur_vi
PAX0011484112,Dragon Ball FighterZ,dragon_ball_fighterz
PAX0011485302,My Hero One's Justice,my_hero_one_s_justice
PAX0011489042,Jump Force: Characters Pass (DLC),jump_force_characters_pass
PAX0011489654,Dragon Ball: Xenoverse 2 - Extra Pass (DLC),dragon_ball_xenoverse_2_extra_pass
PAX0011492170,Naruto Shippuden: Ultimate Ninja Storm 4 - Road to Boruto,naruto_shippuden_ultimate_ninja_storm_4_road_to_boruto
PAX0011492340,Beware Planet Earth!,beware_planet_earth
PAX0011493326,Tekken 7 Season Pass 2 (DLC),tekken_7_season_pass_2
PAX0011493428,One Piece: World Seeker (Deluxe Edition),one_piece_world_seeker_deluxe
PAX0011494516,The Dark Pictures Anthology: Man of Medan,the_dark_pictures_anthology_man_of_medan
PAX0011496930,Code Vein (Deluxe Edition),code_vein_deluxe
PAX0011497746,RAD,rad
