Product Name,Normalized Name,Customer Reference,months_seen,first_period,last_period,resellers,item_number_candidates,needs_review,review_reasons
JoJo's Bizarre Adventure: All-Star Battle R Ultimate Edition,jojo_s_bizarre_adventure_all_star_battle_r_ultimate,E06307,21,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E06307=21p,False,
Jujutsu Kaisen Cursed Clash,jujutsu_kaisen_cursed_clash,E05703,20,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E05703=20p,False,
Jujutsu Kaisen Cursed Clash Deluxe Edition,jujutsu_kaisen_cursed_clash_deluxe,E06213,19,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E06213=18p; E03322=1p,False,
Jujutsu Kaisen Cursed Clash Ultimate Edition,jujutsu_kaisen_cursed_clash_ultimate,E06212,19,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E06212=19p,False,
Klonoa Phantasy Reverie Series,klonoa_phantasy_reverie_series,E04522,21,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E04522=21p,False,
Little Nightmares III,little_nightmares_iii,E05707,7,2025-12,2026-06,"Alibaba, Heybox, Sonkwo",E05707=7p,False,
Little Nightmares III Deluxe Edition,little_nightmares_iii_deluxe,L00119,7,2025-12,2026-06,"Alibaba, Heybox, Sonkwo",L00119=7p,False,
Little Nightmares VR: Altered Echoes,little_nightmares_vr_altered_echoes,L51736,1,2026-06,2026-06,Heybox,L51736=1p,False,
MOBILE SUIT GUNDAM SEED BATTLE DESTINY REMASTERED,mobile_suit_gundam_seed_battle_destiny_remastered,E06942,14,2025-05,2026-06,"Alibaba, Heybox, Sonkwo",E06942=14p,False,
NARUTO SHIPPUDEN: Ultimate Ninja STORM 2,naruto_shippuden_ultimate_ninja_storm_2,E05373,17,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E05373=17p,False,
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,naruto_shippuden_ultimate_ninja_storm_4,E01592,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E01592=22p,False,
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 Road to Boruto,naruto_shippuden_ultimate_ninja_storm_4_road_to_boruto,E04555,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E04555=22p,False,
NARUTO SHIPPUDEN: Ultimate Ninja STORM Legacy,naruto_shippuden_ultimate_ninja_storm_legacy,E05371,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E05371=22p,False,
NARUTO SHIPPUDEN: Ultimate Ninja STORM Trilogy,naruto_shippuden_ultimate_ninja_storm_trilogy,E05387,20,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E05387=20p; L30800=1p,False,
NARUTO TO BORUTO: SHINOBI STRIKER,naruto_to_boruto_shinobi_striker,E02855,21,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E02855=20p; E01572=1p; E01927=1p,False,
NARUTO TO BORUTO: SHINOBI STRIKER Deluxe Edition,naruto_to_boruto_shinobi_striker_deluxe,E02942,20,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E02942=20p,False,
NARUTO TO BORUTO: SHINOBI STRIKER Ultimate Edition,naruto_to_boruto_shinobi_striker_ultimate,E06292,21,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E06292=21p,False,
NARUTO: Ultimate Ninja STORM,naruto_ultimate_ninja_storm,E05386,20,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E05386=20p,False,
NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS,naruto_x_boruto_ultimate_ninja_storm_connections,E03049,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E03049=22p,False,
NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS Deluxe Edition,naruto_x_boruto_ultimate_ninja_storm_connections_deluxe,E06164,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E06164=22p,False,
NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS Ultimate Edition,naruto_x_boruto_ultimate_ninja_storm_connections_ultimate,E06165,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E06165=22p; E06212=1p,False,
New Gundam Breaker,new_gundam_breaker,E02758,19,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E02758=19p,False,
Once Upon A KATAMARI,once_upon_a_katamari,E06970,7,2025-12,2026-06,Heybox,E06970=7p,False,
Once Upon A KATAMARI - King of All Sounds Edition,once_upon_a_katamari_king_of_all_sounds,L00120,6,2025-12,2026-06,"Heybox, Sonkwo",L00120=6p,False,
ONE PIECE BURNING BLOOD,one_piece_burning_blood,E01970,19,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E01970=19p,False,
ONE PIECE BURNING BLOOD GOLD Edition,one_piece_burning_blood_gold,E05642,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E05642=22p,False,
ONE PIECE ODYSSEY,one_piece_odyssey,E05083,20,2024-08_2024-09,2026-06,"Alibaba, Heybox",E05083=20p,False,
ONE PIECE ODYSSEY Deluxe Edition,one_piece_odyssey_deluxe,E05788,20,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E05788=20p,False,
ONE PIECE: PIRATE WARRIORS 4,one_piece_pirate_warriors_4,E02973,21,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E02973=20p; E05387=2p; E04727=1p,True,competing_item_numbers
ONE PIECE: PIRATE WARRIORS 4 Deluxe Edition,one_piece_pirate_warriors_4_deluxe,E03825,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E03825=22p; E02942=1p,False,
ONE PIECE: PIRATE WARRIORS 4 Legendary Edition,one_piece_pirate_warriors_4_legendary,L00434,6,2026-01,2026-06,"Heybox, Sonkwo",L00434=6p,False,
ONE PIECE: PIRATE WARRIORS 4 Ultimate Edition,one_piece_pirate_warriors_4_ultimate,E06098,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E06098=22p,False,
ONE PIECE WORLD SEEKER,one_piece_world_seeker,E03295,20,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E03295=20p,False,
ONE PIECE WORLD SEEKER Deluxe Edition,one_piece_world_seeker_deluxe,E03367,20,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E03367=20p,False,
ONE PUNCH MAN: A HERO NOBODY KNOWS,one_punch_man_a_hero_nobody_knows,E02997,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E02997=21p; E02985=1p; E06970=1p,False,
PAC-MAN Mega Tunnel Battle: Chomp Champs,pac_man_mega_tunnel_battle_chomp_champs,E06649,16,2025-03,2026-06,"Alibaba, Heybox, Sonkwo",E06649=16p,False,
PAC-MAN Mega Tunnel Battle: Chomp Champs - Deluxe Edition,pac_man_mega_tunnel_battle_chomp_champs_deluxe,E06652,17,2025-01,2026-06,"Alibaba, Heybox, Sonkwo",E06652=17p,False,
PAC-MAN WORLD 2 Re-PAC,pac_man_world_2_re_pac,E06971,2,2026-03,2026-06,"Heybox, Sonkwo",E06971=2p,False,
PAC-MAN WORLD 2 Re-PAC Deluxe Edition,pac_man_world_2_re_pac_deluxe,L00118,2,2026-03,2026-06,"Heybox, Sonkwo",L00118=2p; L42484=1p,False,
Park Beyond,park_beyond,E04538,15,2024-08_2024-09,2026-06,"Alibaba, Heybox",E04538=15p,False,
PATAPON 1+2 REPLAY,patapon_1_2_replay,E06134,12,2025-07,2026-06,"Alibaba, Heybox, Sonkwo",E06134=12p,False,
SAND LAND,sand_land,E06114,21,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E06114=21p,False,
SAND LAND Deluxe Edition,sand_land_deluxe,E06272,21,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E06272=21p,False,
SCARLET NEXUS,scarlet_nexus,E03557,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E03557=21p; E02985=1p,False,
SCARLET NEXUS Deluxe Edition,scarlet_nexus_deluxe,E04727,21,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E04727=19p; E02758=2p; L11104=1p,True,competing_item_numbers
SCARLET NEXUS Ultimate Edition,scarlet_nexus_ultimate,E05643,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E05643=22p,False,
SD GUNDAM BATTLE ALLIANCE,sd_gundam_battle_alliance,E03559,21,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E03559=21p,False,
SD GUNDAM BATTLE ALLIANCE - Deluxe Edition,sd_gundam_battle_alliance_deluxe,E05472,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E05472=22p,False,
SD GUNDAM G GENERATION CROSS RAY,sd_gundam_g_generation_cross_ray,E02985,4,2024-08_2024-09,2026-04,Heybox,E02985=4p,True,shared_item_number
SD GUNDAM G GENERATION CROSS RAY Platinum Edition,sd_gundam_g_generation_cross_ray_platinum,E06306,3,2024-08_2024-09,2026-04,Heybox,E06306=3p,True,shared_item_number
SD GUNDAM G GENERATION CROSS RAYS,sd_gundam_g_generation_cross_rays,E02985,19,2024-12,2026-06,"Alibaba, Heybox, Sonkwo",E02985=19p; L09296=1p,True,shared_item_number
SD GUNDAM G GENERATION CROSS RAYS Platinum Edition,sd_gundam_g_generation_cross_rays_platinum,E06306,21,2024-10,2026-06,"Alibaba, Heybox, Sonkwo",E06306=21p; L30793=1p,True,shared_item_number
