Normalized Name,Product Name,reseller
one_piece_pirate_warriors_4,ONE PIECE: PIRATE WARRIORS 4,Heybox
one_piece_pirate_warriors_4_deluxe,ONE PIECE: PIRATE WARRIORS 4 Deluxe Edition,Heybox
one_piece_pirate_warriors_4_legendary,ONE PIECE: PIRATE WARRIORS 4 Legendary Edition,Heybox
one_piece_pirate_warriors_4_ultimate,ONE PIECE: PIRATE WARRIORS 4 Ultimate Edition,Heybox
one_piece_world_seeker,ONE PIECE WORLD SEEKER,Heybox
one_piece_world_seeker_deluxe,ONE PIECE WORLD SEEKER Deluxe Edition,Heybox
one_punch_man_a_hero_nobody_knows,ONE PUNCH MAN: A HERO NOBODY KNOWS,Heybox
pac_man_mega_tunnel_battle_chomp_champs,PAC-MAN Mega Tunnel Battle: Chomp Champs,Heybox
pac_man_mega_tunnel_battle_chomp_champs_deluxe,PAC-MAN Mega Tunnel Battle: Chomp Champs - Deluxe Edition,Heybox
pac_man_world_2_re_pac,PAC-MAN WORLD 2 Re-PAC,Heybox
pac_man_world_2_re_pac_deluxe,PAC-MAN WORLD 2 Re-PAC Deluxe Edition,Heybox
park_beyond,Park Beyond,Heybox
patapon_1_2_replay,PATAPON 1+2 REPLAY,Heybox
sand_land,SAND LAND,Heybox
sand_land_deluxe,SAND LAND Deluxe Edition,Heybox
scarlet_nexus,SCARLET NEXUS,Heybox
scarlet_nexus_deluxe,SCARLET NEXUS Deluxe Edition,Heybox
scarlet_nexus_ultimate,SCARLET NEXUS Ultimate Edition,Heybox
sd_gundam_battle_alliance,SD GUNDAM BATTLE ALLIANCE,Heybox
sd_gundam_battle_alliance_deluxe,SD GUNDAM BATTLE ALLIANCE - Deluxe Edition,Heybox
sd_gundam_g_generation_cross_rays,SD GUNDAM G GENERATION CROSS RAYS,Heybox
sd_gundam_g_generation_cross_rays_platinum,SD GUNDAM G GENERATION CROSS RAYS Platinum Edition,Heybox
shadow_labyrinth,Shadow Labyrinth,Heybox
shadow_labyrinth_deluxe,Shadow Labyrinth - Deluxe Edition,Heybox
soulcalibur_vi,SOULCALIBUR VI,Heybox
soulcalibur_vi_deluxe,SOULCALIBUR VI Deluxe Edition,Heybox
spy_anya_operation_memories,SPY×ANYA: Operation Memories,Heybox
spy_anya_operation_memories_deluxe,SPY×ANYA: Operation Memories Deluxe Edition,Heybox
super_robot_wars_30,Super Robot Wars 30,Heybox
super_robot_wars_30_deluxe,Super Robot Wars 30 Digital Deluxe Edition,Heybox
super_robot_wars_30_ultimate,Super Robot Wars 30 Ultimate Edition,Heybox
super_robot_wars_x,SUPER ROBOT WARS X,Heybox
super_robot_wars_y,SUPER ROBOT WARS Y,Heybox
super_robot_wars_y_deluxe,SUPER ROBOT WARS Y Deluxe Edition,Heybox
super_robot_wars_y_expansion_pack,SUPER ROBOT WARS Y - Expansion Pack,Heybox
super_robot_wars_y_ultimate,SUPER ROBOT WARS Y Ultimate Edition,Heybox
sword_art_online_alicization_lycoris,SWORD ART ONLINE Alicization Lycoris,Heybox
sword_art_online_alicization_lycoris_deluxe,SWORD ART ONLINE Alicization Lycoris Deluxe Edition,Heybox
sword_art_online_fatal_bullet,Sword Art Online: Fatal Bullet,Heybox
sword_art_online_fatal_bullet_complete,Sword Art Online: Fatal Bullet - Complete Edition,Heybox
sword_art_online_fractured_daydream,SWORD ART ONLINE Fractured Daydream,Heybox
sword_art_online_fractured_daydream_deluxe,SWORD ART ONLINE Fractured Daydream Deluxe Edition,Heybox
sword_art_online_fractured_daydream_premium,SWORD ART ONLINE Fractured Daydream Premium Edition,Heybox
sword_art_online_hollow_realization_deluxe,Sword Art Online: Hollow Realization Deluxe Edition,Heybox
sword_art_online_last_recollection,SWORD ART ONLINE Last Recollection,Heybox
sword_art_online_last_recollection_deluxe,SWORD ART ONLINE Last Recollection Deluxe Edition,Heybox
sword_art_online_lost_song,Sword Art Online: Lost Song,Heybox
synduality_echo_of_ada,SYNDUALITY Echo of Ada,Heybox
synduality_echo_of_ada_deluxe,SYNDUALITY Echo of Ada Deluxe Edition,Heybox
synduality_echo_of_ada_ultimate,SYNDUALITY Echo of Ada Ultimate Edition,Heybox
taiko_no_tatsujin_rhythm_festival,Taiko no Tatsujin: Rhythm Festival,Heybox
taiko_no_tatsujin_rhythm_festival_the_setlist,Taiko no Tatsujin: Rhythm Festival The Setlist Edition,Heybox
tales_of_arise,Tales of Arise,Heybox
tales_of_arise_beyond_the_dawn,Tales of Arise - Beyond the Dawn Edition,Heybox
tales_of_arise_beyond_the_dawn_deluxe,Tales of Arise - Beyond the Dawn Deluxe Edition,Heybox
tales_of_arise_beyond_the_dawn_expansion,Tales of Arise - Beyond the Dawn Expansion,Heybox
